Date,CustomerId,DeliveryDate,Address,ProductId,Quantity,UnitPrice,TaxAmount,TotalExcludingTax,TotalIncludingTax,GrossPrice,Discount,NetPrice,GrossRevenue,NetRevenue,COGS_PER,COGS,GrossProfit,OrderKey,SaleKey
08-06-2019,39375,08-06-2019,"68937 Kieran Squares, New Alvera, Japan",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
21-11-2018,6244,21-11-2018,"2944 Santino Loop, Handbury, Democratic People's Republic of Korea",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
09-08-2018,66892,09-08-2018,"474 Gail Mountains, Schmelerport, Equatorial Guinea",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
08-01-2019,32939,08-01-2019,"70239 Leanna Cliff, North Susannaville, Dominican Republic",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
14-03-2018,3800,14-03-2018,"79485 Muller Spring, East Jakaylaborough, Bolivia",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
04-04-2018,56523,04-04-2018,"90271 Langworth Crossroad, Port Alyssonfurt, Solomon Islands",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
11-06-2016,21736,11-06-2016,"9425 Peter Hill, Lake Darrenbury, Greenland",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
18-04-2016,99546,18-04-2016,"6761 Veum Manors, Homenickport, Tonga",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
30-05-2018,7537,30-05-2018,"906 Jones Spurs, North Nikolas, Senegal",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
06-11-2018,85144,06-11-2018,"43497 Evie Streets, South Eveburgh, Venezuela",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
06-10-2019,98569,06-10-2019,"3599 Brendon Garden, South Robbiestad, Brazil",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
05-11-2016,67056,05-11-2016,"4947 Ludie Heights, Rodrigobury, Uganda",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
15-12-2016,30908,15-12-2016,"0450 Ondricka Avenue, Eliside, Zambia",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
09-01-2017,34433,09-01-2017,"787 Frank Avenue, Schadenshire, Netherlands Antilles",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
04-03-2017,25217,04-03-2017,"3644 Cooper Avenue, East Daytontown, Poland",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
02-05-2018,36991,02-05-2018,"809 Charlie Center, Port Eulaliabury, Svalbard & Jan Mayen Islands",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
20-05-2019,95577,20-05-2019,"7396 Jayden Branch, Kerlukestad, Mongolia",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
15-08-2016,20722,15-08-2016,"185 Pfannerstill Branch, South Luis, Ireland",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
16-03-2018,50549,16-03-2018,"7006 Swaniawski Squares, Waelchishire, United Kingdom",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
30-07-2018,78261,30-07-2018,"01760 Shemar Valley, North Leilahaven, Uruguay",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
06-05-2018,30895,06-05-2018,"06255 Sanford Valley, Okunevahaven, Cameroon",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
11-11-2017,19197,11-11-2017,"213 Alda Knoll, West Mohamedmouth, Colombia",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
01-06-2019,44668,01-06-2019,"44279 Luettgen Haven, North Eliezer, Burundi",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
26-09-2016,98330,26-09-2016,"2919 Kunze Manors, North Angelo, Bouvet Island (Bouvetoya)",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
06-01-2018,75608,06-01-2018,"339 Hudson Ways, Parkermouth, Niger",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
30-06-2019,85215,30-06-2019,"145 Kasey Ferry, East Tressieport, Bermuda",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
05-05-2017,16729,05-05-2017,"3848 Johnson Cliff, Port Jailynburgh, Switzerland",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
04-12-2018,63117,04-12-2018,"97201 Chloe Ridge, Adambury, Qatar",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
01-02-2016,46327,01-02-2016,"3413 Tristin Trail, Favianborough, Mongolia",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
13-08-2016,42384,13-08-2016,"0924 Marquardt Rapid, Lake Gregoria, Singapore",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
17-11-2016,49030,17-11-2016,"25372 Mertz Estates, New Edythestad, Yemen",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
01-10-2019,32141,01-10-2019,"632 Nedra Garden, Faebury, Belarus",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
01-02-2016,19249,01-02-2016,"60934 Jackie Junctions, Amaliafort, Ghana",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
09-10-2018,35125,09-10-2018,"6888 Tremblay Causeway, Nolanport, Antarctica (the territory South of 60 deg S)",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
05-09-2017,87084,05-09-2017,"51180 Reid Knoll, New Groverhaven, Central African Republic",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
09-09-2016,8731,09-09-2016,"8410 Spencer Loaf, Feltonland, Slovenia",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
07-07-2017,67325,07-07-2017,"4246 Americo Islands, South Carli, Eritrea",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
16-08-2018,95447,16-08-2018,"619 Fisher Ville, East Niko, Martinique",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
25-11-2017,4592,25-11-2017,"281 Julia Parks, Lunaview, Mauritania",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
14-04-2018,34874,14-04-2018,"304 Liliana Manor, Wilfredtown, Guinea-Bissau",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
31-08-2016,58695,31-08-2016,"7260 Wisozk Parkways, Lake Dortha, Chile",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
18-11-2016,22868,18-11-2016,"25124 Nicolas Junction, New Garrisonport, New Caledonia",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
08-10-2017,5619,08-10-2017,"8153 Mikayla Loop, New Mireyahaven, Bolivia",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
02-10-2018,30024,02-10-2018,"30581 Corbin Circles, Port Avisberg, Moldova",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
11-06-2018,98286,11-06-2018,"6829 Esta Heights, Larkinland, Hong Kong",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
21-05-2017,24010,21-05-2017,"3489 Luettgen Cliff, Ullrichland, Turkey",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
09-11-2017,99754,09-11-2017,"54128 Ullrich Parks, Port Harmon, Ethiopia",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
29-05-2018,37259,29-05-2018,"974 Allan Garden, Willmsmouth, Belgium",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
18-07-2016,20601,18-07-2016,"907 Nikolaus Passage, Mannberg, Turkey",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
22-12-2019,21736,22-12-2019,"94845 Darion Lane, Queenmouth, Antigua and Barbuda",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
04-05-2016,51150,04-05-2016,"624 Kuhic Overpass, North Yoshikochester, Malaysia",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
09-07-2016,26380,09-07-2016,"287 Jeremie Turnpike, Neldamouth, Uruguay",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
17-12-2016,20097,17-12-2016,"42058 Rippin Drive, Jefferymouth, Tokelau",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
01-12-2016,68705,01-12-2016,"034 Turner Prairie, East Alexis, Nauru",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
18-07-2019,11263,18-07-2019,"46939 Gerard Park, Lake Careyland, Martinique",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
16-08-2018,9475,16-08-2018,"4507 Sipes Gateway, Yvetteside, Greece",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
13-08-2016,29130,13-08-2016,"806 Calista Route, Manteside, Suriname",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
30-04-2016,26565,30-04-2016,"1520 Brock Highway, Lake Lilla, Gibraltar",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
16-05-2016,31655,16-05-2016,"243 Hoppe Lake, New Serena, Saint Kitts and Nevis",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
30-04-2019,48817,30-04-2019,"69773 Mueller Shoal, Casperland, Moldova",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
07-12-2018,76136,07-12-2018,"42713 Oswaldo Ford, North Brycenfort, Indonesia",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
18-01-2016,1401,18-01-2016,"2873 Luettgen Drive, Colestad, Bouvet Island (Bouvetoya)",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
21-11-2018,40853,21-11-2018,"7061 Von Ways, East Zelma, Sri Lanka",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
10-06-2018,31108,10-06-2018,"80455 Yvette Fall, McLaughlinview, Netherlands Antilles",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
27-08-2018,64847,27-08-2018,"43973 Cassie Terrace, Stehrshire, Kuwait",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
25-05-2019,88337,25-05-2019,"72598 Barrows Crossroad, East Jakaylaview, Gibraltar",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
04-05-2018,50736,04-05-2018,"80901 Jones Junctions, South Jenningsshire, Azerbaijan",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
14-02-2017,95642,14-02-2017,"158 Brenda Pines, Jarredfort, Taiwan",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
30-04-2016,25743,30-04-2016,"0275 Schroeder Ferry, McDermottside, Italy",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
28-09-2016,37252,28-09-2016,"74401 Aaron Trafficway, New Rosario, Serbia",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
06-05-2019,75276,06-05-2019,"21322 Herbert Spur, Lefflerhaven, Slovenia",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
13-05-2019,30533,13-05-2019,"160 Tyrique Shores, East Fernmouth, Iceland",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
26-05-2019,78198,26-05-2019,"4453 Johnson Hollow, West Wilhelmine, Aruba",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
25-07-2019,78266,25-07-2019,"681 Myron Views, South Mary, Vanuatu",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
11-12-2017,72194,11-12-2017,"971 McClure Courts, Lake Demario, Djibouti",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
09-01-2018,3903,09-01-2018,"31085 Schowalter Burgs, Emmaville, Saint Vincent and the Grenadines",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
31-01-2019,9669,31-01-2019,"26410 Erik Island, Franeckiland, Finland",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
22-06-2016,51215,22-06-2016,"49158 Wiza Forks, Denesikstad, Jersey",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
10-11-2018,96796,10-11-2018,"465 Mitchell Union, New Brandonland, Slovenia",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
10-03-2019,98994,10-03-2019,"675 Hal Stravenue, Port Filibertomouth, Switzerland",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
26-10-2019,69130,26-10-2019,"01924 Kareem Skyway, Kaseyport, Estonia",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
06-02-2016,84575,06-02-2016,"93409 Nolan Route, New Jeffshire, Bermuda",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
06-10-2017,31081,06-10-2017,"7978 Huel Avenue, West Kalliemouth, Gibraltar",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
05-11-2019,71364,05-11-2019,"0348 Immanuel Mission, Burdettehaven, Turks and Caicos Islands",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
17-06-2016,81158,17-06-2016,"36412 Wiza Canyon, Roslynmouth, Trinidad and Tobago",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
29-08-2019,76910,29-08-2019,"54335 Cornelius Stravenue, Eloiseside, Bouvet Island (Bouvetoya)",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
28-10-2019,22845,28-10-2019,"90855 Schinner Brooks, West Joelstad, Mauritius",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
16-06-2017,20332,16-06-2017,"22943 Koelpin Burg, Vaughnberg, Uzbekistan",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
13-05-2016,99513,13-05-2016,"967 Eric Camp, Ellsworthchester, Netherlands Antilles",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
01-05-2016,80001,01-05-2016,"6753 Daphne Forge, Rowanshire, Suriname",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
07-09-2016,27689,07-09-2016,"3598 Raquel Stream, Harveyton, Jamaica",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
13-12-2016,61650,13-12-2016,"7312 Cornelius Mews, Sanfordland, Marshall Islands",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
03-12-2019,78322,03-12-2019,"841 Daron Oval, West Chadd, Zambia",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
21-03-2017,14876,21-03-2017,"31666 Thomas Street, Albertofurt, Ghana",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
08-06-2019,24010,08-06-2019,"00121 Magnolia Rapid, Stokesland, Faroe Islands",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
01-09-2017,25138,01-09-2017,"306 Satterfield Shores, West Willow, Palestinian Territory",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
03-04-2019,17114,03-04-2019,"311 Houston Course, Gerardland, Mongolia",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
28-06-2017,7281,28-06-2017,"162 Boyer Overpass, West Hailiechester, Norfolk Island",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
06-12-2016,38906,06-12-2016,"65004 Chad Hills, East Khalidtown, Cote d'Ivoire",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
17-06-2018,76375,17-06-2018,"16713 Lilla Plains, Ricebury, Svalbard & Jan Mayen Islands",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
02-04-2019,5313,02-04-2019,"0889 Streich Mission, Landenside, Ukraine",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
15-12-2019,62465,15-12-2019,"26822 Reinger Rapids, Port Maryjane, Grenada",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
17-12-2019,90731,17-12-2019,"96104 Sister Garden, Reichertside, Isle of Man",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
03-03-2019,22972,03-03-2019,"221 Weimann Court, Bryceburgh, Iran",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
22-10-2019,95998,22-10-2019,"7009 Haleigh Plains, South Destanybury, Trinidad and Tobago",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
12-03-2017,45331,12-03-2017,"2020 Beier Haven, Marquisland, Bahrain",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
15-11-2019,94186,15-11-2019,"17809 Jacobson Fort, New Gay, Oman",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
10-03-2019,94000,10-03-2019,"55975 Yost Corner, Effertzside, Ireland",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
21-11-2019,67056,21-11-2019,"73313 Jessy Court, Adeleburgh, Spain",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
21-08-2017,27257,21-08-2017,"32658 Ondricka Camp, Rileymouth, Namibia",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
23-09-2016,19392,23-09-2016,"05910 Armando Rapids, Bartonville, Antarctica (the territory South of 60 deg S)",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
30-05-2016,12700,30-05-2016,"7094 McGlynn Greens, North Frankietown, Nicaragua",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
31-01-2019,14123,31-01-2019,"43801 Nader Manors, Josefaville, Sierra Leone",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
07-12-2017,78763,07-12-2017,"623 Allene Club, West Marley, Croatia",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
21-01-2019,5288,21-01-2019,"89320 Iva Island, Lehnerfort, Ghana",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
03-12-2018,16846,03-12-2018,"2214 Stokes Brooks, Sauershire, Saint Helena",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
27-07-2017,78198,27-07-2017,"817 Kuhic Garden, West Asha, Puerto Rico",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
17-12-2019,29891,17-12-2019,"14043 Natalia Brook, Abelardoburgh, Chad",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
10-01-2016,57982,10-01-2016,"17383 Satterfield Burgs, New Anderson, Guernsey",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
21-11-2018,82327,21-11-2018,"7133 Collier Spur, West Larrychester, France",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
14-04-2019,56624,14-04-2019,"2687 Addison Parkways, East Alvahbury, Bosnia and Herzegovina",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
08-03-2018,2042,08-03-2018,"8390 Crooks Walks, Hoppeside, Iran",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
02-05-2019,3433,02-05-2019,"98194 Stanton Mountains, New Libbie, Virgin Islands, British",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
29-05-2017,18712,29-05-2017,"034 Tressie Locks, South Forestshire, Colombia",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
21-07-2019,31704,21-07-2019,"428 Graham Pine, Lake Stone, Colombia",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
17-10-2019,5993,17-10-2019,"430 Jairo Village, Peggieside, Maldives",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
13-08-2016,24349,13-08-2016,"672 Sierra Brook, Westton, Ecuador",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
31-12-2018,89662,31-12-2018,"585 Keaton Burgs, North Josh, United States of America",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
17-05-2019,48341,17-05-2019,"76259 Cummings Camp, Port Delaneychester, Gibraltar",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
12-02-2019,65805,12-02-2019,"1063 Shanahan Flat, Lake Jamel, Mali",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
26-03-2019,70060,26-03-2019,"38902 Arlie Walk, North Anissahaven, Montserrat",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
15-04-2019,82983,15-04-2019,"54728 Raleigh Mission, West Faustoburgh, Wallis and Futuna",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
12-08-2016,14816,12-08-2016,"35424 Jacobson Motorway, Rubenborough, Comoros",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
28-05-2019,92498,28-05-2019,"4393 Schmidt Common, West Alysa, Mexico",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
06-04-2018,89847,06-04-2018,"7114 Magdalena Walk, New Vicky, Ghana",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
24-08-2019,43513,24-08-2019,"87290 Cleta Station, West Janiechester, Mongolia",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
28-11-2016,22245,28-11-2016,"203 Verner Forest, Port Rogelio, Netherlands Antilles",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
09-06-2019,49387,09-06-2019,"8326 Hodkiewicz Center, Phyllisville, Christmas Island",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
13-12-2017,66365,13-12-2017,"363 Annabelle Motorway, North Waldo, Sierra Leone",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
08-03-2018,5916,08-03-2018,"7874 Sister Glen, Lake Harold, Ireland",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
15-01-2019,53534,15-01-2019,"861 Luther Rue, Weimannview, Mali",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
31-03-2018,6968,31-03-2018,"911 Boyer Bypass, North Noraport, Macao",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
15-06-2016,99546,15-06-2016,"2172 Alexzander Camp, Strackefurt, Ethiopia",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
24-10-2018,31567,24-10-2018,"52125 Hoeger Field, West Gwen, Bulgaria",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
16-05-2016,4341,16-05-2016,"226 Hodkiewicz Via, Morissettemouth, Pakistan",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
17-01-2019,27740,17-01-2019,"987 Bogisich Mount, East Coopermouth, Hong Kong",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
29-11-2017,24929,29-11-2017,"81753 Braxton Mews, Naderview, Martinique",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
18-01-2019,40377,18-01-2019,"2661 Doyle Meadows, Kozeyhaven, Falkland Islands (Malvinas)",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
16-01-2019,31740,16-01-2019,"95581 Blick Springs, Lennaport, Mozambique",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
09-07-2018,3356,09-07-2018,"641 Antonetta Views, Adamsview, Cape Verde",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
25-09-2018,3480,25-09-2018,"150 Feeney Glen, West Kayla, Antarctica (the territory South of 60 deg S)",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
18-02-2019,78221,18-02-2019,"982 Percival Forge, Tremaynechester, Tonga",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
20-05-2019,86862,20-05-2019,"34639 Sven Garden, North Xanderborough, Barbados",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
01-08-2019,9587,01-08-2019,"88356 Smith Crest, Christiansenburgh, Bouvet Island (Bouvetoya)",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
08-03-2016,88337,08-03-2016,"778 Mante Mews, Port Laviniaport, Mayotte",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
22-06-2017,84897,22-06-2017,"651 Beaulah Club, Augustineborough, Saudi Arabia",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
12-02-2019,58113,12-02-2019,"120 Jacynthe Courts, West Sydneeton, Sierra Leone",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
04-02-2016,80103,04-02-2016,"60455 Kaia Estate, Kodyfort, Switzerland",1529,2,250,60,500,560,250,11,222,500,444,40,178,266,,
